,Author,Title,Year
34,Lauri Tuominen,"Hyperarousal Symptoms of PTSD Correlate to Neuromelanin-Sensitive MRI Signal in the Locus Coeruleus, a Putative Measure of Noradrengeric System Function",2021.0
35,Lauri Tuominen,PET aivosairauksissa,2020.0
36,Lauri Tuominen,"Skitsofrenia, Käypä hoito-suositus, tiivistelmä",2020.0
37,Lauri Tuominen,Amygdala Subnuclei Volumes in First-Episode Psychosis: Association with Childhood Adversity,
38,Synthia Guimond,Creating a digital health smartphone app and digital phenotyping platform for mental health and diverse healthcare needs: an interdisciplinary and collaborative approach,2019.0
39,Synthia Guimond,Neuroimaging in schizophrenia,2020.0
40,Synthia Guimond,Mapping neurotransmitter systems to the structural and functional organization of the human neocortex,2022.0
41,Synthia Guimond,Neural correlates of cognitive deficits across developmental phases of schizophrenia,2019.0
42,Synthia Guimond,The efficacy of cognitive remediation in depression: a systematic literature review and meta-analysis,2021.0
43,Synthia Guimond,Problematic social media use in adolescents and young adults: systematic review and meta-analysis,2022.0
44,Synthia Guimond,Strategy for semantic association memory (SESAME) training: effects on brain functioning in schizophrenia,2018.0
45,Synthia Guimond,Social cognition in early course of schizophrenia: Exploratory factor analysis,2019.0
46,Synthia Guimond,Individual variation in brain network topology is linked to emotional intelligence,2019.0
47,Synthia Guimond,Towards remote digital phenotyping of cognition in schizophrenia.,2019.0
48,Synthia Guimond,Effects of peer social interaction on performance during computerized cognitive remediation therapy in patients with early course schizophrenia: A pilot study,2019.0
49,Synthia Guimond,Impaired regulation of emotional distractors during working memory load in schizophrenia,2018.0
50,Synthia Guimond,Feasibility and Efficacy of Virtual Reality Interventions to Improve Psychosocial Functioning in Psychosis: Systematic Review,2022.0
51,Synthia Guimond,White matter microstructure across brain-based biotypes for psychosis–findings from the bipolar-schizophrenia network for intermediate phenotypes,2021.0
52,Synthia Guimond,Confirmatory efficacy of cognitive enhancement therapy for early schizophrenia: results from a multisite randomized trial,2022.0
53,Synthia Guimond,Association of white matter microstructure and extracellular free-water with cognitive performance in the early course of schizophrenia,2020.0
54,Synthia Guimond,Remote cognitive assessment in severe mental illness: a scoping review,2022.0
55,Synthia Guimond,A diagnosis and biotype comparison across the psychosis spectrum: investigating volume and shape amygdala-hippocampal differences from the B-SNIP Study,2021.0
56,Synthia Guimond,First-in-human imaging and kinetic analysis of vesicular acetylcholine transporter density in the heart using [18F]FEOBV PET,2021.0
57,Synthia Guimond,Validation of an ecological momentary assessment to measure processing speed and executive function in schizophrenia,2021.0
58,Synthia Guimond,Functional connectivity associated with improvement in emotion management after cognitive enhancement therapy in early-course schizophrenia,2022.0
59,Synthia Guimond,Altered amygdala shape trajectories and emotion recognition in youth at familial high risk of schizophrenia who develop psychosis,2022.0
60,Synthia Guimond,Theory of Mind impairments in early course schizophrenia: An fMRI study,2021.0
61,Synthia Guimond,Remote cognitive assessment in severe mental illness: a scoping review,2020.0
62,Synthia Guimond,"Associations between digital media use and psychotic experiences in young adults of Quebec, Canada: a longitudinal study",2022.0
63,Synthia Guimond,Impact of Non-pharmacological Interventions on Brain Structure and Function in Schizophrenia,2020.0
64,Synthia Guimond,Prediction of Emotional Measures via Electrodermal Activity (EDA) and Electrocardiogram (ECG),2022.0
65,Synthia Guimond,Cognitive Enhancement Therapy in Early Schizophrenia: A Qualitative and Quantitative Case Series of Patients’ Experiences,2021.0
66,Synthia Guimond,Virtual reality for rehabilitation interventions in individuals with psychosis: systematicreview,2021.0
67,Synthia Guimond,T99. Harnessing digital technologies to assess and treat cognitive symptoms in schizophrenia,2020.0
68,Synthia Guimond,"19.3 CAN WE IMPROVE RELATIONAL MEMORY IN SCHIZOPHRENIA AND IF SO, WHAT IS THE IMPACT ON NEURAL ACTIVITY?",2019.0
69,Synthia Guimond,Prediction of Continuous Emotional Measures through Physiological and Visual Data,2023.0
70,Synthia Guimond,Social cognition in youth with a first-degree relative with schizophrenia: A systematic scoping review,2023.0
71,Synthia Guimond,Developmental Change in Human Substantia Nigra: Preliminary Observations Early and Late in Life Assessed With Neuromelanin-Sensitive MRI,2022.0
72,Synthia Guimond,Normative Values of Neuromelanin‐Sensitive MRI Signal in Older Adults Obtained Using a Turbo Spin Echo Sequence,2022.0
73,Synthia Guimond,Encapsulating psychosis with a second language: A clinical case,2022.0
74,Synthia Guimond,Normative values of neuromelanin-sensitive MRI signal in older adults obtained using a standard protocol for acquisition and analysis,2022.0
75,Synthia Guimond,Mapping neurotransmitter receptor and transporter distributions to the connectivity and dynamics of the human neocortex,2021.0
76,Synthia Guimond,BRIEF REPORT First-in-human imaging and kinetic analysis of vesicular acetylcholine transporter density in the heart using [18 F] FEOBV PET,2020.0
77,Synthia Guimond,Efficacy and Feasibility of Virtual Reality Rehabilitation Interventions for Individuals with a Psychotic Disorder,2020.0
78,Synthia Guimond,Young Researchers’ Brain Health Research Day Joint ConferenceEffect of prior treatment history and sex on antidepressant response to subanesthetic ketamine infusionsChronic …,2019.0
79,Synthia Guimond,Using a smartphone application to assess cognition in individuals with schizophrenia.,2019.0
80,Synthia Guimond,O31. The Impact of Network Topology on Individual Differences in Cognition and Symptomatology,2019.0
81,Synthia Guimond,F193. White Matter Microstructure and Social Cognition in Early Course Schizophrenia,2019.0
82,Synthia Guimond,S100. COGNITIVE ENHANCEMENT THERAPY IN SCHIZOPHRENIA: A QUANTITATIVE AND QUALITATIVE ANALYSIS OF PATIENTS’EXPERIENCES,2019.0
83,Synthia Guimond,DIAGNOSIS AND BIOTYPE COMPARISON ACROSS THE PSYCHOSIS SPECTRUM: INVESTIGATING WHITE MATTER MICROSTRUCTURAL DIFFERENCES FROM THE BIPOLAR-SCHIZOPHRENIA NETWORK ON INTERMEDIATE …,2019.0
84,Synthia Guimond,Cognitive Enhancement Therapy for Early Course Schizophrenia: Functional Connectivity Associated with Improvement in Social Cognition,2018.0
85,Synthia Guimond,Social Cognitive Ability Reflected in Individual Brain Network Topology,2018.0
86,Synthia Guimond,146. Diagnosis and Biotype Comparisons Across the Psychosis Spectrum: Investigating White Matter Microstructural Differences From the Bipolar-Schizophrenia Network on …,2018.0
87,Synthia Guimond,145. Diagnosis and Biotype Comparisons Across the Psychosis Spectrum: Investigating Amygdala-Hippocampal Differences From the Bipolar-Schizophrenia Network on Intermediate …,2018.0
88,Synthia Guimond,T22. PITUITARY GLAND VOLUME DIFFERENCES IN INDIVIDUALS WITH PSYCHOSIS: RESULTS FROM THE BIPOLAR-SCHIZOPHRENIA NETWORK ON INTERMEDIATE PHENOTYPES (B-SNIP) STUDY,2018.0
89,Synthia Guimond,Individual Variation in Brain Network Topology Predicts Emotional Intelligence,2018.0
90,Synthia Guimond,Remote cognitive assessment in severe mental illness: a scoping,
91,Synthia Guimond,Emotional Intelligence Reflected in Individual Brain Network Topology,
92,Synthia Guimond,"Investigating the link between prefrontal cortex plasticity, cortical thickness and memory: a multimodal approach",
93,Sara Tremblay,Clinical utility and prospective of TMS–EEG,2019.0
94,Sara Tremblay,Selective suppression of local interneuron circuits in human motor cortex contributes to movement preparation,2018.0
95,Sara Tremblay,Diagnostic contribution and therapeutic perspectives of transcranial magnetic stimulation in dementia,2021.0
96,Sara Tremblay,The Current and future potential of transcranial magnetic stimulation with electroencephalography in psychiatry,2019.0
97,Sara Tremblay,A review of the effects of physical activity and sports concussion on brain function and anatomy,2018.0
98,Sara Tremblay,Pulse width biases the balance of excitation and inhibition recruited by transcranial magnetic stimulation,2020.0
99,Sara Tremblay,The study of noninvasive brain stimulation using molecular brain imaging: a systematic review,2020.0
100,Sara Tremblay,Increased myo-inositol in primary motor cortex of contact sports athletes without a history of concussion,2018.0
101,Sara Tremblay,The Effect of Coil Orientation on the Stimulation of the Pre–Supplementary Motor Area: A Combined TMS and EEG Study,2022.0
102,Sara Tremblay,Dose-response of intermittent theta burst stimulation of the prefrontal cortex: a TMS-EEG study,2022.0
103,Sara Tremblay,No aftereffects of high current density 10 Hz and 20 Hz tACS on sensorimotor alpha and beta oscillations,2021.0
104,Sara Tremblay,Childhood trauma mediates repetitive transcranial magnetic stimulation efficacy in major depressive disorder,2021.0
105,Sara Tremblay,Changes in the excitability of corticobulbar projections due to intraoral cooling with ice,2019.0
106,Sara Tremblay,Neurophysiological aftereffects of 10 Hz and 20 Hz transcranial alternating current stimulation over bilateral sensorimotor cortex,2020.0
107,Sara Tremblay,A single session of theta burst stimulation alters metabolic activity in the core depression network,2021.0
108,Sara Tremblay,Correction to: Childhood trauma mediates repetitive transcranial magnetic stimulation efficacy in major depressive disorder,2021.0
109,Sara Tremblay,"Childhood trauma mediates repetitive transcranial magnetic stimulation efficacy in major depressive disorder (Jun, 10.1007/s00406-021-01279-3, 2021)",2021.0
110,Sara Tremblay,Correction to: Childhood trauma mediates repetitive transcranial magnetic stimulation efficacy in major depressive disorder (European Archives of Psychiatry and Clinical …,2021.0
111,Sara Tremblay,Article 1: Probing the effects of mild traumatic brain injury with transcranial magnetic stimulation of the primary motor cortex,2019.0
112,Sara Tremblay,Young Researchers’ Brain Health Research Day Joint ConferenceEffect of prior treatment history and sex on antidepressant response to subanesthetic ketamine infusionsChronic …,2019.0
113,Sara Tremblay,What is the optimal duration of theta burst stimulation of the prefrontal cortex?,2019.0
114,Sara Tremblay,P26-T Coil orientation matters: TMS-EEG to optimise the activation of pre-Supplementary motor area,2019.0
115,Sara Tremblay,"Selective Suppression of Local Interneuron Circuits in Human Motor Cortex Contributes to Movement Preparation (vol 38, pg 1264, 2018)",2018.0
116,Sara Tremblay,The visual representation of pain facial expressions: a high-definition transcranial direct current stimulation study,
117,Sara Tremblay,"Investigating the link between prefrontal cortex plasticity, cortical thickness and memory: a multimodal approach",
118,Sara Tremblay,Long-term investigation of primary motor cortex metabolism in concussed athletes,
119,Sara Tremblay,Relationship between TMS-derived measures of GABAB and 1H-MRS measures of glutamate and GABA in M1,
120,Robyn McQuaid,Coping with the COVID-19 pandemic: examining gender differences in stress and mental health among university students,2021.0
121,Robyn McQuaid,The burden of loneliness: Implications of the social determinants of health during COVID-19,2021.0
122,Robyn McQuaid,"Traumatic experiences, perceived discrimination, and psychological distress among members of various socially marginalized groups",2019.0
123,Robyn McQuaid,"The influence of COVID-19 on stress, substance use, and mental health among postsecondary students",2021.0
124,Robyn McQuaid,Profiling changes in cortical astroglial cells following chronic stress,2018.0
125,Robyn McQuaid,"Post-weaning environmental enrichment in male CD-1 mice: impact on social behaviors, corticosterone levels and prefrontal cytokine expression in adulthood",2018.0
126,Robyn McQuaid,Suicidal thoughts and attempts in First Nations communities: Links to parental Indian residential school attendance across development,2019.0
127,Robyn McQuaid,The ties that bind: Ingroup ties are linked with diminished inflammatory immune responses and fewer mental health symptoms through less rumination,2018.0
128,Robyn McQuaid,Understanding the relation between early-life adversity and depression symptoms: the moderating role of sex and an interleukin-1β gene variant,2019.0
129,Robyn McQuaid,Familial attendance at Indian residential school and subsequent involvement in the child welfare system among Indigenous adults born during the sixties scoop era,2020.0
130,Robyn McQuaid,"Cannabis use, anxiety, and perceptions of risk among Canadian undergraduates: the moderating role of gender",2019.0
131,Robyn McQuaid,Examining barriers as risk factors for relapse: A focus on the Canadian treatment and recovery system of care,2018.0
132,Robyn McQuaid,"Transdiagnostic biomarker approaches to mental health disorders: consideration of symptom complexity, comorbidity and context",2021.0
133,Robyn McQuaid,Life in recovery from addiction in Canada: Examining gender pathways with a focus on the female experience,2018.0
134,Robyn McQuaid,Rejection sensitivity and multiple group memberships: The moderating role of an oxytocin receptor gene polymorphism,2018.0
135,Robyn McQuaid,Developing symptom clusters: linking inflammatory biomarkers to depressive symptom profiles,2022.0
136,Robyn McQuaid,Social support and unsupportive interactions in relation to depressive symptoms: implication of gender and the BDNF polymorphism,2020.0
137,Robyn McQuaid,Examining Risk Factors in the Cannabis–Suicide Link: Considering Trauma and Impulsivity among University Students,2022.0
138,Robyn McQuaid,Relations between bullying and distress among youth living in First Nations communities: Assessing direct and moderating effects of culture-related variables,2022.0
139,Robyn McQuaid,"Hormone contraceptive use in young women: Altered mood states, neuroendocrine and inflammatory biomarkers",2022.0
140,Robyn McQuaid,Parent-Child Separations and Mental Health among First Nations and Métis Peoples in Canada: Links to Intergenerational Residential School Attendance,2022.0
141,Robyn McQuaid,Sex differences in determinants of suicide risk preceding psychiatric admission: An electronic medical record study,2022.0
142,Robyn McQuaid,Developing symptom clusters: linking inflammatory and neuroendocrine markers to transdiagnostic symptom profiles,2021.0
143,Robyn McQuaid,Examining neuroendocrine and inflammatory biomarker profiles to characterize PTSD subtypes and symptom profiles,2021.0
144,Robyn McQuaid,Neural features of a modified auditory oddball task in individuals with posttraumatic stress disorder,2021.0
145,Robyn McQuaid,Determinants of suicide risk preceding psychiatric admission: a retrospective electronic medical record study,2020.0
146,Robyn McQuaid,404. Disentangling the Depression-Suicide Relationship Among Emerging Adults: The Role of Symptom Clusters and Inflammatory Biomarkers,2023.0
147,Robyn McQuaid,"31. Understanding the Dissociative PTSD Subtype: Distinct Relations Between Early-Life Trauma, Neuroendocrine, and Inflammatory Profiles",2023.0
148,Robyn McQuaid,Benefits and barriers to engagement of mental health caregivers in advisory roles: Results from a cross‐sectional survey,2023.0
149,Robyn McQuaid,Correction: Developing symptom clusters: linking inflammatory biomarkers to depressive symptom profiles,2022.0
150,Robyn McQuaid,"Hyperarousal Symptoms of PTSD Correlate to Neuromelanin-Sensitive MRI Signal in the Locus Coeruleus, a Putative Measure of Noradrengeric System Function",2021.0
151,Robyn McQuaid,"Hyperarousal Symptoms of PTSD Correlate to Neuromelanin-Sensitive MRI Signal in the Locus Coeruleus, a Putative Measure of Noradrengeric System Function",2020.0
152,Robyn McQuaid,Young Researchers’ Brain Health Research Day Joint ConferenceEffect of prior treatment history and sex on antidepressant response to subanesthetic ketamine infusionsChronic …,2019.0
153,Robyn McQuaid,A first glance at the presenting characteristics of inpatients admitted at risk of suicide.,2019.0
154,Clifford Cassidy,Neuromelanin detection by magnetic resonance imaging (MRI) and its promise as a biomarker for Parkinson’s disease,2018.0
155,Clifford Cassidy,Deficits in striatal dopamine release in cannabis dependence,2017.0
156,Clifford Cassidy,A perceptual inference mechanism for hallucinations linked to striatal dopamine,2018.0
157,Clifford Cassidy,Neuromelanin-sensitive MRI as a noninvasive proxy measure of dopamine function in the human brain,2019.0
158,Clifford Cassidy,Dopamine-related disruption of functional topography of striatal connections in unmedicated patients with schizophrenia,2016.0
159,Clifford Cassidy,Dynamic connectivity between brain networks supports working memory: relationships to dopamine release and schizophrenia,2016.0
160,Clifford Cassidy,Evidence for dopamine abnormalities in the substantia nigra in cocaine addiction revealed by neuromelanin-sensitive MRI,2020.0
161,Clifford Cassidy,Association of locus coeruleus integrity with Braak stage and neuropsychiatric symptom severity in Alzheimer’s disease,2022.0
162,Clifford Cassidy,Reliability and Reproducibility of Neuromelanin‐Sensitive Imaging of the Substantia Nigra: A Comparison of Three Different Sequences,2021.0
163,Clifford Cassidy,Association between neuromelanin-sensitive MRI signal and psychomotor slowing in late-life depression,2021.0
164,Clifford Cassidy,Neuromelanin-sensitive magnetic resonance imaging as a proxy marker for catecholamine function in psychiatry,2021.0
165,Clifford Cassidy,Neuromelanin accumulation in patients with schizophrenia: A systematic review and meta-analysis,2022.0
166,Clifford Cassidy,Neural abnormalities in fear generalization in schizophrenia and associations with negative symptoms,2021.0
167,Clifford Cassidy,Cross‐scanner harmonization of neuromelanin‐sensitive MRI for multisite studies,2021.0
168,Clifford Cassidy,First-in-human imaging and kinetic analysis of vesicular acetylcholine transporter density in the heart using [18F]FEOBV PET,2021.0
169,Clifford Cassidy,Substance abuse in emerging adults: the role of neuromelanin and ventral striatal response to social and monetary rewards,2022.0
170,Clifford Cassidy,"Neuromelanin-Sensitive MRI as an Index of Norepinephrine System Integrity in Healthy Aging, Mild Cognitive Impairment, and Alzheimer’s Disease",2020.0
171,Clifford Cassidy,194. Neuromelanin-Sensitive MRI as an Early Indicator of Dopamine Dysfunction in Individuals at Risk for Psychosis,2017.0
172,Clifford Cassidy,Deep rTMS of the insula and prefrontal cortex in smokers with schizophrenia: Proof-of-concept study,2022.0
173,Clifford Cassidy,"Associations between locus coeruleus integrity and diagnosis, age, and cognitive performance in older adults with and without late-life depression: An exploratory study",2022.0
174,Clifford Cassidy,Examining neuroendocrine and inflammatory biomarker profiles to characterize PTSD subtypes and symptom profiles,2021.0
175,Clifford Cassidy,Neural features of a modified auditory oddball task in individuals with posttraumatic stress disorder,2021.0
176,Clifford Cassidy,Neuromelanin-sensitive mri for assessing parkinson's disease,2021.0
177,Clifford Cassidy,"System, method and computer-accessible medium for neuromelanin-sensitive magnetic resonance imaging as a non-invasive proxy measure of dopamine function in the human brain",2020.0
178,Clifford Cassidy,"S236. Neuromelanin-Sensitive MRI: A Novel, Non-Invasive Proxy Measure of Dopamine Function in Neuropsychiatric Illness",2018.0
179,Clifford Cassidy,Characterization of an automated method to segment the human locus coeruleus,2023.0
180,Clifford Cassidy,"31. Understanding the Dissociative PTSD Subtype: Distinct Relations Between Early-Life Trauma, Neuroendocrine, and Inflammatory Profiles",2023.0
181,Clifford Cassidy,Developmental Change in Human Substantia Nigra: Preliminary Observations Early and Late in Life Assessed With Neuromelanin-Sensitive MRI,2022.0
182,Clifford Cassidy,Normative Values of Neuromelanin‐Sensitive MRI Signal in Older Adults Obtained Using a Turbo Spin Echo Sequence,2022.0
183,Clifford Cassidy,Neuromelanin MRI as Biomarker for Treatment Resistance in First Episode Schizophrenia Patients,2022.0
184,Clifford Cassidy,Normative values of neuromelanin-sensitive MRI signal in older adults obtained using a standard protocol for acquisition and analysis,2022.0
185,Clifford Cassidy,P549. MRI Neuromelanin Accumulation in Patients with Treatment-Resistant Schizophrenia: A Cross-Sectional Pilot Study,2022.0
186,Clifford Cassidy,Examining the Locus Coeruleus Norepinephrine System With Neuromelanin-Sensitive MRI: Applications in Psychiatric and Neurodegenerative Illness,2022.0
187,Clifford Cassidy,P245. Neuromelanin in the Locus Coeruleus is Associated With Neurocognitive Performance in Older Adults With Depression and Healthy Controls,2022.0
188,Clifford Cassidy,Association of a Novel MRI-Based Measure of Locus Coeruleus-Norepinephrine System Integrity With Braak Stage and Neuropsychiatric Symptom Severity in Alzheimer's Disease,2021.0
189,Clifford Cassidy,Neuromelanin-Sensitive Imaging Links Locus Coeruleus Anatomy to Cognitive Performance in Individuals With Late-Life Depression and Age-Matched Healthy Controls,2021.0
190,Clifford Cassidy,Deep rTMS of the insula disrupts cigarette self-administration and modulates insula-centric brain function in smokers with schizophrenia,2021.0
191,Clifford Cassidy,Ubiquitous Dopamine Deficit Hypotheses in Cocaine Use Disorder Lack Support: Response to Leyton,2021.0
192,Clifford Cassidy,"Hyperarousal Symptoms of PTSD Correlate to Neuromelanin-Sensitive MRI Signal in the Locus Coeruleus, a Putative Measure of Noradrengeric System Function",2021.0
193,Clifford Cassidy,Neuromelanin-Sensitive MRI Signal is Associated With Functional Striatal Response to Social but Not Monetary Reward Processing: Potential Mechanisms for Social Anxiety,2020.0
194,Clifford Cassidy,"Hyperarousal Symptoms of PTSD Correlate to Neuromelanin-Sensitive MRI Signal in the Locus Coeruleus, a Putative Measure of Noradrengeric System Function",2020.0
195,Clifford Cassidy,How do Stress and Craving Lead to Relapse in Opioid Use Disorder? Determining Sensitization Effects in the Locus Coeruleus Norepinephrine System in Humans,2020.0
196,Clifford Cassidy,BRIEF REPORT First-in-human imaging and kinetic analysis of vesicular acetylcholine transporter density in the heart using [18 F] FEOBV PET,2020.0
197,Clifford Cassidy,"Investigation of Neuromelanin-Sensitive MRI as an Index of Norepinephrine System Integrity in Healthy Aging, Mild Cognitive impairment, and Alzheimer's Disease",2019.0
198,Clifford Cassidy,F210. Preliminary MRI Evidence of Abnormal Neuromelanin Accumulation in the Substantia Nigra in Cocaine-Use Disorder,2019.0
199,Clifford Cassidy,ACNP 58th Annual Meeting: Poster Session II,2019.0
200,Clifford Cassidy,Christopher Abbott,2019.0
201,Clifford Cassidy,Preliminary MRI Evidence for Abnormalities in Neuromelanin Accumulation in the Substantia Nigra in Cocaine Use Disorder,2018.0
202,Clifford Cassidy,"Neuromelanin-Sensitive MRI: A Novel, Non-Invasive Proxy Measure of Dopamine Function in Neuropsychiatric Illness",2017.0
203,Clifford Cassidy,A Perceptual Inference Mechanism for Hallucinations Linked to Striatal Dopamine,2016.0
204,Clifford Cassidy,Dopamine 2016,2016.0
205,Natalia Jaworska,The burden of loneliness: Implications of the social determinants of health during COVID-19,2021.0
206,Natalia Jaworska,Leveraging machine learning approaches for predicting antidepressant treatment response using electroencephalography (EEG) and clinical data,2019.0
207,Natalia Jaworska,Pre-treatment EEG signal variability is associated with treatment success in depression,2018.0
208,Natalia Jaworska,Repetitive transcranial magnetic stimulation in youth with treatment resistant major depression,2019.0
209,Natalia Jaworska,History of suicide attempt and right superior temporal gyrus volume in youth with treatment-resistant major depressive disorder,2018.0
210,Natalia Jaworska,Sex differences in [11C]ABP688 binding: a positron emission tomography study of mGlu5 receptors,2019.0
211,Natalia Jaworska,Brain structural correlates of insomnia severity in 1053 individuals with major depressive disorder: results from the ENIGMA MDD Working Group,2020.0
212,Natalia Jaworska,Aerobic exercise in depressed youth: A feasibility and clinical outcomes pilot,2019.0
213,Natalia Jaworska,"A randomized, crossover comparison of ketamine and electroconvulsive therapy for treatment of major depressive episodes: a Canadian biomarker integration network in depression …",2020.0
214,Natalia Jaworska,Change in humor and sarcasm use based on anxiety and depression symptom severity during the COVID-19 pandemic,2021.0
215,Natalia Jaworska,Using prefrontal and midline right frontal EEG-derived theta cordance and depressive symptoms to predict the differential response or remission to antidepressant treatment in …,2020.0
216,Natalia Jaworska,Effect of (Z)-isomer content on [11C]ABP688 binding potential in humans,2019.0
217,Natalia Jaworska,Neural function in DCC mutation carriers with and without mirror movements,2019.0
218,Natalia Jaworska,An electrophysiological investigation of attentional bias in a PTSD population.,2018.0
219,Natalia Jaworska,"Cocaine cue‐induced mesocorticolimbic activation in cocaine users: Effects of personality traits, lifetime drug use, and acute stimulant ingestion",2022.0
220,Natalia Jaworska,The effects of acute transcranial direct current stimulation on attentional bias in pedophilic disorder: A preregistered pilot study,2021.0
221,Natalia Jaworska,Body mass index and variability in hippocampal volume in youth with major depressive disorder,2021.0
222,Natalia Jaworska,mGlu5 Receptor availability in youth at risk for addictions: Effects of vulnerability traits and cannabis use,2020.0
223,Natalia Jaworska,Extra-striatal D2/3 receptor availability in youth at risk for addiction,2020.0
224,Natalia Jaworska,Brain responses in aggression-prone individuals: A systematic review and meta-analysis of functional magnetic resonance imaging (fMRI) studies of anger-and aggression-eliciting …,2022.0
225,Natalia Jaworska,Simultaneous EEG+ fMRI study of brain activity during an emotional Stroop task in individuals in remission from depression,2022.0
226,Natalia Jaworska,"A three-factor model of common early onset psychiatric disorders: temperament, adversity, and dopamine",2022.0
227,Natalia Jaworska,Harnessing neuroimaging to enhance our understanding of the effects of ketamine in depression,2019.0
228,Natalia Jaworska,Examining neuroendocrine and inflammatory biomarker profiles to characterize PTSD subtypes and symptom profiles,2021.0
229,Natalia Jaworska,Neural features of a modified auditory oddball task in individuals with posttraumatic stress disorder,2021.0
230,Natalia Jaworska,Looking at the big neurochemical picture of autism spectrum disorder,2020.0
231,Natalia Jaworska,S110. Open Trial of Repetitive Transcranial Magnetic Stimulation in Youth With Treatment-Resistant Major Depression,2018.0
232,Natalia Jaworska,O4. Right Superior Temporal Gyrus Volume as a Biomarker of History of Suicide Attempt in Youth With Treatment-Resistant Major Depressive Disorder,2018.0
233,Natalia Jaworska,Recognition of Masked and Unmasked Facial Expressions in Males and Females and Relations with Mental Wellness,2023.0
234,Natalia Jaworska,"31. Understanding the Dissociative PTSD Subtype: Distinct Relations Between Early-Life Trauma, Neuroendocrine, and Inflammatory Profiles",2023.0
235,Natalia Jaworska,Facilitators and Barriers Influencing Antipsychotic Medication Prescribing and Deprescribing Practices in Critically Ill Adult Patients: a Qualitative Study,2023.0
236,Natalia Jaworska,A Paradigm Shift in Trauma Treatment: Converging Evidence for a Novel Adaptation of Eye Movement Desensitization and Reprocessing (EMDR),2023.0
237,Natalia Jaworska,Mood Disorders and Creativity,2023.0
238,Natalia Jaworska,Benefits and barriers to engagement of mental health caregivers in advisory roles: Results from a cross‐sectional survey,2023.0
